dateRep,cases,deaths,countriesAndTerritories
09/02/2020,0,0,Dominican_Republic
08/02/2020,0,0,Dominican_Republic
07/02/2020,0,0,Dominican_Republic
06/02/2020,0,0,Dominican_Republic
05/02/2020,0,0,Dominican_Republic
04/02/2020,0,0,Dominican_Republic
03/02/2020,0,0,Dominican_Republic
02/02/2020,0,0,Dominican_Republic
01/02/2020,0,0,Dominican_Republic
31/01/2020,0,0,Dominican_Republic
30/01/2020,0,0,Dominican_Republic
29/01/2020,0,0,Dominican_Republic
28/01/2020,0,0,Dominican_Republic
27/01/2020,0,0,Dominican_Republic
26/01/2020,0,0,Dominican_Republic
25/01/2020,0,0,Dominican_Republic
24/01/2020,0,0,Dominican_Republic
23/01/2020,0,0,Dominican_Republic
22/01/2020,0,0,Dominican_Republic
21/01/2020,0,0,Dominican_Republic
20/01/2020,0,0,Dominican_Republic
19/01/2020,0,0,Dominican_Republic
18/01/2020,0,0,Dominican_Republic
17/01/2020,0,0,Dominican_Republic
16/01/2020,0,0,Dominican_Republic
15/01/2020,0,0,Dominican_Republic
14/01/2020,0,0,Dominican_Republic
13/01/2020,0,0,Dominican_Republic
12/01/2020,0,0,Dominican_Republic
11/01/2020,0,0,Dominican_Republic
10/01/2020,0,0,Dominican_Republic
09/01/2020,0,0,Dominican_Republic
08/01/2020,0,0,Dominican_Republic
07/01/2020,0,0,Dominican_Republic
06/01/2020,0,0,Dominican_Republic
05/01/2020,0,0,Dominican_Republic
04/01/2020,0,0,Dominican_Republic
03/01/2020,0,0,Dominican_Republic
02/01/2020,0,0,Dominican_Republic
01/01/2020,0,0,Dominican_Republic
31/12/2019,0,0,Dominican_Republic
06/04/2020,181,8,Ecuador
05/04/2020,97,27,Ecuador
04/04/2020,205,25,Ecuador
03/04/2020,405,0,Ecuador
02/04/2020,456,41,Ecuador
01/04/2020,336,17,Ecuador
31/03/2020,76,4,Ecuador
30/03/2020,55,10,Ecuador
29/03/2020,208,7,Ecuador
28/03/2020,224,7,Ecuador
27/03/2020,192,5,Ecuador
26/03/2020,129,2,Ecuador
25/03/2020,101,9,Ecuador
24/03/2020,192,4,Ecuador
23/03/2020,257,7,Ecuador
22/03/2020,106,0,Ecuador
21/03/2020,227,4,Ecuador
20/03/2020,31,0,Ecuador
19/03/2020,57,1,Ecuador
18/03/2020,53,0,Ecuador
17/03/2020,21,0,Ecuador
16/03/2020,9,0,Ecuador
15/03/2020,5,1,Ecuador
14/03/2020,6,1,Ecuador
11/03/2020,2,0,Ecuador
10/03/2020,1,0,Ecuador
09/03/2020,1,0,Ecuador
06/03/2020,3,0,Ecuador
05/03/2020,3,0,Ecuador
03/03/2020,1,0,Ecuador
02/03/2020,5,0,Ecuador
01/03/2020,1,0,Ecuador
29/02/2020,0,0,Ecuador
28/02/2020,0,0,Ecuador
27/02/2020,0,0,Ecuador
26/02/2020,0,0,Ecuador
25/02/2020,0,0,Ecuador
24/02/2020,0,0,Ecuador
23/02/2020,0,0,Ecuador
22/02/2020,0,0,Ecuador
21/02/2020,0,0,Ecuador
20/02/2020,0,0,Ecuador
19/02/2020,0,0,Ecuador
18/02/2020,0,0,Ecuador
17/02/2020,0,0,Ecuador
16/02/2020,0,0,Ecuador
15/02/2020,0,0,Ecuador
14/02/2020,0,0,Ecuador
13/02/2020,0,0,Ecuador
12/02/2020,0,0,Ecuador
11/02/2020,0,0,Ecuador
10/02/2020,0,0,Ecuador
09/02/2020,0,0,Ecuador
08/02/2020,0,0,Ecuador
07/02/2020,0,0,Ecuador
06/02/2020,0,0,Ecuador
05/02/2020,0,0,Ecuador
04/02/2020,0,0,Ecuador
03/02/2020,0,0,Ecuador
02/02/2020,0,0,Ecuador
01/02/2020,0,0,Ecuador
31/01/2020,0,0,Ecuador
30/01/2020,0,0,Ecuador
29/01/2020,0,0,Ecuador
28/01/2020,0,0,Ecuador
27/01/2020,0,0,Ecuador
26/01/2020,0,0,Ecuador
25/01/2020,0,0,Ecuador
24/01/2020,0,0,Ecuador
23/01/2020,0,0,Ecuador
22/01/2020,0,0,Ecuador
21/01/2020,0,0,Ecuador
20/01/2020,0,0,Ecuador
19/01/2020,0,0,Ecuador
18/01/2020,0,0,Ecuador
17/01/2020,0,0,Ecuador
16/01/2020,0,0,Ecuador
15/01/2020,0,0,Ecuador
14/01/2020,0,0,Ecuador
13/01/2020,0,0,Ecuador
12/01/2020,0,0,Ecuador
11/01/2020,0,0,Ecuador
10/01/2020,0,0,Ecuador
09/01/2020,0,0,Ecuador
08/01/2020,0,0,Ecuador
07/01/2020,0,0,Ecuador
06/01/2020,0,0,Ecuador
05/01/2020,0,0,Ecuador
04/01/2020,0,0,Ecuador
03/01/2020,0,0,Ecuador
02/01/2020,0,0,Ecuador
01/01/2020,0,0,Ecuador
31/12/2019,0,0,Ecuador
06/04/2020,85,5,Egypt
05/04/2020,206,14,Egypt
04/04/2020,0,0,Egypt
03/04/2020,69,6,Egypt
02/04/2020,54,5,Egypt
01/04/2020,47,1,Egypt
31/03/2020,33,4,Egypt
30/03/2020,40,6,Egypt
29/03/2020,41,6,Egypt
28/03/2020,39,3,Egypt
27/03/2020,14,0,Egypt
26/03/2020,76,2,Egypt
25/03/2020,39,5,Egypt
24/03/2020,33,4,Egypt
23/03/2020,9,2,Egypt
22/03/2020,29,1,Egypt
21/03/2020,46,1,Egypt
20/03/2020,14,0,Egypt
19/03/2020,30,2,Egypt
18/03/2020,40,2,Egypt
17/03/2020,16,0,Egypt
16/03/2020,17,0,Egypt
15/03/2020,0,0,Egypt
14/03/2020,13,0,Egypt
13/03/2020,20,1,Egypt
12/03/2020,1,0,Egypt
11/03/2020,4,0,Egypt
10/03/2020,6,0,Egypt
09/03/2020,34,1,Egypt
07/03/2020,12,0,Egypt
06/03/2020,1,0,Egypt
02/03/2020,1,0,Egypt
01/03/2020,0,0,Egypt
29/02/2020,0,0,Egypt
28/02/2020,0,0,Egypt
27/02/2020,0,0,Egypt
26/02/2020,0,0,Egypt
25/02/2020,0,0,Egypt
24/02/2020,0,0,Egypt
23/02/2020,0,0,Egypt
22/02/2020,0,0,Egypt
21/02/2020,0,0,Egypt
20/02/2020,0,0,Egypt
19/02/2020,0,0,Egypt
18/02/2020,0,0,Egypt
17/02/2020,0,0,Egypt
16/02/2020,0,0,Egypt
15/02/2020,1,0,Egypt
14/02/2020,0,0,Egypt
13/02/2020,0,0,Egypt
12/02/2020,0,0,Egypt
11/02/2020,0,0,Egypt
10/02/2020,0,0,Egypt
09/02/2020,0,0,Egypt
08/02/2020,0,0,Egypt
07/02/2020,0,0,Egypt
06/02/2020,0,0,Egypt
05/02/2020,0,0,Egypt
04/02/2020,0,0,Egypt
03/02/2020,0,0,Egypt
02/02/2020,0,0,Egypt
01/02/2020,0,0,Egypt
31/01/2020,0,0,Egypt
30/01/2020,0,0,Egypt
29/01/2020,0,0,Egypt
28/01/2020,0,0,Egypt
27/01/2020,0,0,Egypt
26/01/2020,0,0,Egypt
25/01/2020,0,0,Egypt
24/01/2020,0,0,Egypt
23/01/2020,0,0,Egypt
22/01/2020,0,0,Egypt
21/01/2020,0,0,Egypt
20/01/2020,0,0,Egypt
19/01/2020,0,0,Egypt
18/01/2020,0,0,Egypt
17/01/2020,0,0,Egypt
16/01/2020,0,0,Egypt
15/01/2020,0,0,Egypt
14/01/2020,0,0,Egypt
13/01/2020,0,0,Egypt
12/01/2020,0,0,Egypt
11/01/2020,0,0,Egypt
10/01/2020,0,0,Egypt
09/01/2020,0,0,Egypt
08/01/2020,0,0,Egypt
07/01/2020,0,0,Egypt
06/01/2020,0,0,Egypt
05/01/2020,0,0,Egypt
04/01/2020,0,0,Egypt
03/01/2020,0,0,Egypt
02/01/2020,0,0,Egypt
01/01/2020,0,0,Egypt
31/12/2019,0,0,Egypt
06/04/2020,7,0,El_Salvador
05/04/2020,6,0,El_Salvador
04/04/2020,10,1,El_Salvador
03/04/2020,5,0,El_Salvador
02/04/2020,9,1,El_Salvador
01/04/2020,0,1,El_Salvador
31/03/2020,2,0,El_Salvador
30/03/2020,11,0,El_Salvador
29/03/2020,6,0,El_Salvador
28/03/2020,0,0,El_Salvador
27/03/2020,0,0,El_Salvador
26/03/2020,4,0,El_Salvador
25/03/2020,4,0,El_Salvador
